MTV点歌78,#genre#
Rainbow-Whoo,http://em.21dtv.com/songs/60119174.mkv
张清芳-我还年轻,http://em.21dtv.com/songs/60045473.mkv
张秀卿+林宏铭-我乎你靠,http://em.21dtv.com/songs/60045586.mkv
方瑞娥+黄西田-我乎你靠,http://em.21dtv.com/songs/60045585.mkv
罗百吉-舞会女孩,http://em.21dtv.com/songs/60047780.mkv
邓小龙-我很难过,http://em.21dtv.com/songs/60112994.mkv
林俊杰-我怀念的,http://em.21dtv.com/songs/60130478.mkv
草蜢-我怀念的(演唱会),http://em.21dtv.com/songs/60078257.mkv
李代沫-我怀念的,http://em.21dtv.com/songs/60071247.mkv
萧敬腾-我怀念的(演唱会),http://em.21dtv.com/songs/60065076.mkv
孙燕姿-我怀念的,http://em.21dtv.com/songs/60045593.mkv
泳儿-我怀念的(演唱会),http://em.21dtv.com/songs/60045592.mkv
最美和声群星-我和你唱,http://em.21dtv.com/songs/60094529.mkv
邝美云-为何离去,http://em.21dtv.com/songs/60043869.mkv
王杰-为何流泪,http://em.21dtv.com/songs/60088296.mkv
阿兰-我回来了,http://em.21dtv.com/songs/60065077.mkv
吴欢-我回来了,http://em.21dtv.com/songs/60045596.mkv
蔡旻佑-我回来了,http://em.21dtv.com/songs/60045595.mkv
叶万钧-无悔老兵,http://em.21dtv.com/songs/60047140.mkv
张牧阅-无话可说,http://em.21dtv.com/songs/60133679.mkv
玲玲Linda-无话可说,http://em.21dtv.com/songs/60120808.mkv
曾宝仪-无话可说,http://em.21dtv.com/songs/60047132.mkv
江得胜-无话可说(无原唱),http://em.21dtv.com/songs/60047131.mkv
王鹤铮-我很快乐,http://em.21dtv.com/songs/60061684.mkv
周蕙-我很快乐,http://em.21dtv.com/songs/60045567.mkv
梅艳芳-我很快乐,http://em.21dtv.com/songs/60045566.mkv
刘惜君-我很快乐,http://em.21dtv.com/songs/60045565.mkv
刘惜君-我很快乐(演唱会),http://em.21dtv.com/songs/60045564.mkv
SOUL WORKS-我很快乐(无原唱),http://em.21dtv.com/songs/60045563.mkv
辛子奇-无话可讲,http://em.21dtv.com/songs/60047130.mkv
曾航生-无悔今生,http://em.21dtv.com/songs/60047139.mkv
伊雪-我还记得,http://em.21dtv.com/songs/60128772.mkv
