新聞,#genre#
中天電視,https://www.youtube.com/watch?v=oIgbl7t0S_w
中天新聞2,https://www.youtube.com/watch?v=WPfPjbOLNfE&ab_channel=%E4%B8%AD%E5%A4%A9%E6%B7%B1%E5%96%89%E5%9A%A8
中天亞洲台,https://www.youtube.com/watch?v=PYtGQvNmadg&ab_channel=CTIASIA%E4%B8%AD%E5%A4%A9%E4%BA%9E%E6%B4%B2%E5%8F%B0
鳳凰資訊,https://www.youtube.com/watch?v=sUISafvOieY&ab_channel=%E9%B3%B3%E5%87%B0%E8%B3%87%E8%A8%8APhoenixTVNews
CCTV-4,https://www.youtube.com/watch?v=9sE12tg3CmA&ab_channel=LIVENOW
TVBS新聞,https://www.youtube.com/watch?v=2mCSYvcfhtc&ab_channel=TVBSNEWS
三立iNEWS,https://www.youtube.com/watch?v=CKjSm5ZeehE&ab_channel=%E4%B8%89%E7%AB%8BiNEWS
三立NEWS+,https://www.youtube.com/watch?v=oZdzzvxTfUY&ab_channel=%E4%B8%89%E7%AB%8BLIVE%E6%96%B0%E8%81%9E
三立LIVE,https://www.youtube.com/watch?v=FoBfXvlOR6I&ab_channel=%E4%B8%89%E7%AB%8BLIVE%E6%96%B0%E8%81%9E
東森新聞,https://www.youtube.com/watch?v=R2iMq5LKXco&ab_channel=%E6%9D%B1%E6%A3%AE%E6%96%B0%E8%81%9ECH51
東森新聞 CH51,https://www.youtube.com/watch?v=khuZW5GdBXo&ab_channel=%E6%9D%B1%E6%A3%AE%E6%96%B0%E8%81%9ECH51
東森財經,https://www.youtube.com/watch?v=LbS-xQ67fos&ab_channel=57%E6%9D%B1%E6%A3%AE%E8%B2%A1%E7%B6%93%E6%96%B0%E8%81%9E
東森財經新聞,https://www.youtube.com/watch?v=WHEPzbFA3hw&ab_channel=57%E6%9D%B1%E6%A3%AE%E8%B2%A1%E7%B6%93%E6%96%B0%E8%81%9E
民視新聞,https://www.youtube.com/watch?v=ylYJSBUgaMA&ab_channel=%E6%B0%91%E8%A6%96%E6%96%B0%E8%81%9E%E7%B6%B2FormosaTVNewsnetwork
華視新聞,https://www.youtube.com/watch?v=wM0g8EoUZ_E&ab_channel=%E8%8F%AF%E8%A6%96%E6%96%B0%E8%81%9ECH52
中視新聞,https://www.youtube.com/watch?v=TCnaIE_SAtM&ab_channel=%E4%B8%AD%E8%A6%96%E6%96%B0%E8%81%9EHD%E7%9B%B4%E6%92%AD%E9%A0%BB%E9%81%93%EF%BD%9CTaiwanCTVnewsHDLive
台視新聞,https://www.youtube.com/watch?v=xL0ch83RAK8&ab_channel=%E5%8F%B0%E8%A6%96%E6%96%B0%E8%81%9ETTVNEWS
寰宇新聞,https://www.youtube.com/watch?v=B7Zp3d6xXWw&ab_channel=%E5%AF%B0%E5%AE%87%E6%96%B0%E8%81%9E%E9%A0%BB%E9%81%93
寰宇新聞,https://www.youtube.com/watch?v=UcTIv4ZaE5Y&ab_channel=%E5%AF%B0%E5%AE%87%E6%96%B0%E8%81%9E%E9%A0%BB%E9%81%93
鏡新聞,https://www.youtube.com/watch?v=5n0y6b0Q25o&ab_channel=%E9%8F%A1%E6%96%B0%E8%81%9E
KOMPASTV,https://www.youtube.com/watch?v=4rmf-lk3ito&ab_channel=KOMPASTV
飢餓遊戲,https://www.youtube.com/watch?v=3xe-R00ijC4&ab_channel=%E9%A3%A2%E9%A4%93%E9%81%8A%E6%88%B2HungerGames
東京新宿,https://www.youtube.com/watch?v=DjdUEyjx8GM&ab_channel=%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA%E3%83%A9%E3%82%A4%E3%83%96%E3%81%A1%E3%82%83%E3%82%93%E3%81%AD%E3%82%8B%E3%80%8EKabukichoLiveChannel%E3%80%8F
大愛電視 Tzu Chi DaAiVideo,https://www.youtube.com/watch?v=DTNkEm6jaqQ
大愛電視 Tzu Chi DaAiVideo,https://www.youtube.com/watch?v=oV_i3Hsl_zg
大愛電視 Tzu Chi DaAiVideo,https://www.youtube.com/watch?v=MIqUplvSRWA
大愛電視 Tzu Chi DaAiVideo,https://www.youtube.com/watch?v=OKvWtVoDR8I
正德電視台,https://www.youtube.com/watch?v=CHDb5D0DCkw
公視 網路直播頻道,https://www.youtube.com/watch?v=4Uc00FPs27M
公視台語台,https://www.youtube.com/watch?v=6KlRR_DGhmI
華藏淨宗弘化網,https://www.youtube.com/watch?v=2naimjogZ0I
TaiwanPlus Livestream,https://www.youtube.com/watch?v=dZp87qnWelE
運通財經台,https://www.youtube.com/watch?v=solSdRlVEHI
國會頻道,https://www.youtube.com/watch?v=07fcM9KsV74
國會頻道,https://www.youtube.com/watch?v=KyHM5yvcLU4
國會頻道,https://www.youtube.com/watch?v=itHS1nrqjvE
國會頻道,https://www.youtube.com/watch?v=tDg3bJFYLzI
國會頻道,https://www.youtube.com/watch?v=Af0TFVbxvAQ
國會頻道,https://www.youtube.com/watch?v=xfikIGtkQeA
國會頻道,https://www.youtube.com/watch?v=Cidl9JoRtGk
國會頻道,https://www.youtube.com/watch?v=Qo9QwuCpV3s
國會頻道,https://www.youtube.com/watch?v=teud7KwyEPw
國會頻道,https://www.youtube.com/watch?v=KUhidt89DVo
國會頻道,https://www.youtube.com/watch?v=qvNOiyW2j1k
國會頻道,https://www.youtube.com/watch?v=X73wHTEUEpA
國會頻道,https://www.youtube.com/watch?v=vGX0bMBVa4k
國會頻道,https://www.youtube.com/watch?v=1s_XWr7KzVE
國會頻道,https://www.youtube.com/watch?v=4HysYHJ6GkY
國會頻道,https://www.youtube.com/watch?v=RAP4h3q6_Sg
幸福Plus,https://www.youtube.com/watch?v=_jbDwrcm0Xw
信大電視台線上直播,https://www.youtube.com/watch?v=AQymzwl3uSk
三大有線電視公司-三大一台,https://www.youtube.com/watch?v=aMo69qDa6yk
三聖電視台,https://www.youtube.com/watch?v=X1Db4fmoAIw
HZTV華藏衛視直播台,https://www.youtube.com/watch?v=YzpByfRMKqM
57彩券王,https://www.youtube.com/watch?v=AWyoXftuxW0
全球財經台2,https://www.youtube.com/watch?v=f_8XyT55pms
歡樂看電視,https://www.youtube.com/watch?v=63_t3sUyWCw


國外新聞,#genre#
Above & Beyond,https://www.youtube.com/watch?v=IvuwTft-0cM
WION,https://www.youtube.com/watch?v=lmZRiDMK3OU
WION,https://www.youtube.com/watch?v=ADfq23E50zQ
ARY News,https://www.youtube.com/watch?v=sUKwTVAc0Vo
【公式】HOME広島ニュース,https://www.youtube.com/watch?v=e2pgLUmaxGs
News 12,https://www.youtube.com/watch?v=q8KjGbX0-6U
