MTV点歌37,#genre#
阚立文+艾菲-我还能做什么,http://em.21dtv.com/songs/60081919.mkv
钟汶-我还能做什么,http://em.21dtv.com/songs/60045472.mkv
谢雨欣-我还能做什么,http://em.21dtv.com/songs/60045471.mkv
小柯+黄琦珊-我还能做什么,http://em.21dtv.com/songs/60045470.mkv
刘继业-我还能去爱谁,http://em.21dtv.com/songs/60071248.mkv
冬冬-我和你分手后,http://em.21dtv.com/songs/60045536.mkv
飞鹰-为何离开我,http://em.21dtv.com/songs/60103710.mkv
刘梦-我火了很彷徨,http://em.21dtv.com/songs/60105639.mkv
樊凡-我怀里的天空,http://em.21dtv.com/songs/60097750.mkv
廖伟雄-我还可以真吗,http://em.21dtv.com/songs/60045466.mkv
佚名-我会继续想你,http://em.21dtv.com/songs/60045609.mkv
李蕙敏-我会继续想你,http://em.21dtv.com/songs/60045608.mkv
广智-为何还在爱你,http://em.21dtv.com/songs/60043866.mkv
木子琪OW6IIN-我还唱那首歌,http://em.21dtv.com/songs/60084050.mkv
CLOWN-我还唱那首歌,http://em.21dtv.com/songs/60061989.mkv
夏冰-我还不能放下,http://em.21dtv.com/songs/60103996.mkv
陈百潭-为何爱着别人,http://em.21dtv.com/songs/60096013.mkv
费玉清-为何爱着别人,http://em.21dtv.com/songs/60095929.mkv
佚名-where have all the flowers gon,http://em.21dtv.com/songs/60006291.mkv
佚名-where have all the cowboys gon,http://em.21dtv.com/songs/60006290.mkv
李乐诗-无悔爱你一生,http://em.21dtv.com/songs/60047136.mkv
何鹏-望海(原版),http://em.21dtv.com/songs/60093615.mkv
郑怡-微光中的歌吟,http://em.21dtv.com/songs/60043762.mkv
IU-我过去的故事,http://em.21dtv.com/songs/60100725.mkv
刘德华-我给你的快乐,http://em.21dtv.com/songs/60045454.mkv
孙家山-我干了你随意,http://em.21dtv.com/songs/60132357.mkv
蒋山-我干了你随意,http://em.21dtv.com/songs/60131783.mkv
巫启贤-我感觉不到你,http://em.21dtv.com/songs/60045447.mkv
聂子轩-五公分的距离,http://em.21dtv.com/songs/60113966.mkv
莫艳琳-顽固独身主义(演唱会),http://em.21dtv.com/songs/60043190.mkv
王不火-我干杯你随意,http://em.21dtv.com/songs/60129378.mkv
陈百潭-我干杯你随意,http://em.21dtv.com/songs/60123316.mkv
许佳慧-吻过爱过的你,http://em.21dtv.com/songs/60097743.mkv
五分之一-五分之一的我,http://em.21dtv.com/songs/60090514.mkv
刘德华-无法一天不想,http://em.21dtv.com/songs/60104818.mkv
佚名-无法一天不想,http://em.21dtv.com/songs/60047110.mkv
符致逸-无非一声掰拜,http://em.21dtv.com/songs/60126012.mkv
符致逸-无非一声掰拜,http://em.21dtv.com/songs/60124331.mkv
梦璟SAYA-问佛,http://em.21dtv.com/songs/60125819.mkv
林玉英-枉费为你牺牲,http://em.21dtv.com/songs/60095693.mkv
王玉英-枉费为你牺牲(无原唱),http://em.21dtv.com/songs/60043402.mkv
西风-无法挽留的爱,http://em.21dtv.com/songs/60118901.mkv
SF9-无法忘记的美,http://em.21dtv.com/songs/60133281.mkv
陆萍-无法停止想你,http://em.21dtv.com/songs/60047106.mkv
德德玛-我富饶的家乡,http://em.21dtv.com/songs/60087893.mkv
江志丰-我放开你的手,http://em.21dtv.com/songs/60108662.mkv
梦彤-晚风吹过哨塔,http://em.21dtv.com/songs/60133898.mkv
王雅洁-晚风吹过哨塔,http://em.21dtv.com/songs/60109546.mkv
雷佳-晚风吹过哨塔(演唱会),http://em.21dtv.com/songs/60078015.mkv
BOY MEETS GIRL-waiting for a star to fall,http://em.21dtv.com/songs/60006082.mkv
FOREIGNER-waiting for a girl like you,http://em.21dtv.com/songs/60006081.mkv
覃桢+李雨奚-520我爱你,http://em.21dtv.com/songs/60112956.mkv
JKAI+VV+KIEN-WeChat,http://em.21dtv.com/songs/60134712.mkv
白智英+2PM-我耳边的糖果,http://em.21dtv.com/songs/60045417.mkv
ONE OK ROCK-We Are,http://em.21dtv.com/songs/60131094.mkv
梁雁翎-我对真心无悔,http://em.21dtv.com/songs/60045408.mkv
小乔-我的掌纹是你,http://em.21dtv.com/songs/60103225.mkv
田馥甄-我等着你回来[演],http://em.21dtv.com/songs/60101143.mkv
村根-我的珠穆朗玛,http://em.21dtv.com/songs/60045355.mkv
孙浩雨-我对着镜子哭,http://em.21dtv.com/songs/60102125.mkv
赵云红-我的中华妈妈,http://em.21dtv.com/songs/60069948.mkv
冯允谦-What Do You Want From Me,http://em.21dtv.com/songs/60080499.mkv
彭羚-我的眼我的泪,http://em.21dtv.com/songs/60045328.mkv
SPICE GIRLS-who do you think you are,http://em.21dtv.com/songs/60006313.mkv
PIXIE LOTT FT+PUSHA T-what do you take me for,http://em.21dtv.com/songs/60074110.mkv
PIXIE LOTT+PUSHA T-what do you take me for,http://em.21dtv.com/songs/60063793.mkv
王宏伟-我的衣食父母,http://em.21dtv.com/songs/60067561.mkv
刘和刚-我的衣食父母,http://em.21dtv.com/songs/60045334.mkv
小5-我的野蛮同学,http://em.21dtv.com/songs/60099965.mkv
[Group]
groupName=十六万歌曲MV等 - 90
刘德华-我的野蛮男友,http://em.21dtv.com/songs/60090697.mkv
可米小子-我的野蛮女友,http://em.21dtv.com/songs/60045330.mkv
汪明荃+胡杏儿+黄宗泽-我的野蛮奶奶,http://em.21dtv.com/songs/60092955.mkv
胡幸儿+汪明荃-我的野蛮奶奶,http://em.21dtv.com/songs/60091895.mkv
耿为华-我的移民老乡,http://em.21dtv.com/songs/60078233.mkv
欧豪-我的音乐最酷,http://em.21dtv.com/songs/60120682.mkv
艾敬-我的一九九七,http://em.21dtv.com/songs/60045331.mkv
潘美辰-我的心在坠落,http://em.21dtv.com/songs/60088246.mkv
陶晶莹-我的心在发烫,http://em.21dtv.com/songs/60045303.mkv
