👦雷蒙影視概念宣傳片,#genre#
雷蒙影視 PV1,https://mirror.ghproxy.com/https://raw.githubusercontent.com/n3rddd/N3RD/master/JN/N3RD/W/CRIMETVPV1.mkv
雷蒙影視 PV1,https://agit.ai/n3rd/N3RD123/raw/branch/master/W/CRIMETVPV1.mkv
雷蒙影視 PV2,https://mirror.ghproxy.com/https://raw.githubusercontent.com/n3rddd/N3RD/master/JN/N3RD/W/CRIMETVPV2.mkv
雷蒙影視 PV2,https://agit.ai/n3rd/N3RD123/raw/branch/master/W/CRIMETVPV2.mkv
雷蒙影視 PV3,https://mirror.ghproxy.com/https://raw.githubusercontent.com/n3rddd/N3RD/master/JN/N3RD/W/CRIMETVPV3.mkv
雷蒙影視 PV3,https://agit.ai/n3rd/N3RD123/raw/branch/master/W/CRIMETVPV3.mkv


🇹🇼台灣新聞,#genre#
中天新聞,https://www.youtube.com/watch?v=oIgbl7t0S_w&ab_channel=%E4%B8%AD%E5%A4%A9%E9%9B%BB%E8%A6%96
中天新聞2,https://www.youtube.com/watch?v=WPfPjbOLNfE&ab_channel=%E4%B8%AD%E5%A4%A9%E6%B7%B1%E5%96%89%E5%9A%A8
中天亞洲台,https://www.youtube.com/watch?v=PYtGQvNmadg&ab_channel=CTIASIA%E4%B8%AD%E5%A4%A9%E4%BA%9E%E6%B4%B2%E5%8F%B0
鳳凰資訊,https://www.youtube.com/watch?v=Zm4i_rvAcxc
CCTV-4,https://www.youtube.com/watch?v=9sE12tg3CmA&ab_channel=LIVENOW
TVBS新聞,https://www.youtube.com/watch?v=2mCSYvcfhtc&ab_channel=TVBSNEWS
三立iNEWS,https://www.youtube.com/watch?v=CKjSm5ZeehE&ab_channel=%E4%B8%89%E7%AB%8BiNEWS
三立NEWS+,https://www.youtube.com/watch?v=oZdzzvxTfUY&ab_channel=%E4%B8%89%E7%AB%8BLIVE%E6%96%B0%E8%81%9E
三立LIVE,https://www.youtube.com/watch?v=FoBfXvlOR6I&ab_channel=%E4%B8%89%E7%AB%8BLIVE%E6%96%B0%E8%81%9E
